変数[C],関数[C],flag・戻り値[C],特別[C],文法・構文[C],説明[C],Cassava Ver[C]
Col[E],-[E],-[E],-[E],-,カーソル位置の X 座標,-
Row[E],-[E],-[E],-[E],-,カーソル位置の Y 座標,-
Right[E],-[E],-[E],-[E],-,データが何列目まであるか (一番右の空白列は数えない),-
Bottom[E],-[E],-[E],-[E],-,データが何行目まであるか (一番下の空白行は数えない),-
SelLeft[E],-[E],-[E],-[E],-,選択範囲の左端の X 座標,-
SelTop[E],-[E],-[E],-[E],-,選択範囲の上端の Y 座標,-
SelRight[E],-[E],-[E],-[E],-,選択範囲の右端の X 座標,-
SelBottom[E],-[E],-[E],-[E],-,選択範囲の下端の Y 座標,-
-[E],write[E],-[E],-[E],write(str);,カーソル位置のセルの内容を str にし、カーソルを右に移動します。エクスポートマクロ中ではファイルに書き出します。,-
-[E],writeln[E],-[E],-[E],writeln(str);,カーソル位置のセルの内容を str にし、カーソルを次の行に移動します。エクスポートマクロ中ではファイルに書き出します。,-
-[E],move[E],-[E],-[E],"move(vx,vy);","カーソル位置を (vx,vy) だけ移動します。",-
-[E],moveto[E],-[E],-[E],"moveto(x,y);","カーソル位置を (x,y) に設定します。",-
-[E],swap[E],-[E],-[E],"swap(a,b);",a と b の値を交換します。,-
-[E],InsertRow[E],-[E],-[E],InsertRow(y);,y 行目に新しい行を挿入します。,-
-[E],DeleteRow[E],-[E],-[E],DeleteRow(y);,y 行目を削除します。,-
-[E],InsertCol[E],-[E],-[E],InsertCol(x);,x 列目に新しい列を挿入します。,-
-[E],DeleteCol[E],-[E],-[E],DeleteCol(x);,x 列目を削除します。,-
-[E],mid[E],-[E],-[E],"mid(str1,x,y) = str2;",文字列 str1 の x 文字目から y 文字を str2 に置き換えます。 最初の文字のインデックスは 1 です。 全角文字を1文字と数えます。,1.4.0
-[E],SetRowHeight[E],-[E],-[E],"SetRowHeight(y,h);",y 行目の高さを h に設定します。,-
-[E],SetRowHeight[E],-[E],-[E],SetRowHeight(h);,全ての行の高さを h に設定します。,-
-[E],AdjustRowHeight[E],-[E],-[E],AdjustRowHeight(y);,y 行目の高さをセル内容に合わせて最適化します。,1.7.0
-[E],SetColWidth[E],-[E],-[E],"SetColWidth(x,w);",x 列目の幅を w に設定します。,-
-[E],SetColWidth[E],-[E],-[E],SetColWidth(w);,全ての列の幅を w に設定します。,-
-[E],AdjustColWidth[E],-[E],-[E],AdjustColWidth(x);,x 列目の幅をセル内容に合わせて最適化します。,1.7.0
-[E],SaveIniSetting[E],-[E],-[E],SaveIniSetting();,現在の Cassava の状態を設定ファイルに保存します。,1.6.0
-[E],LoadIniSetting[E],-[E],-[E],LoadIniSetting();,前回保存した設定ファイルを読み込み、Cassava の状態を元に戻します。,1.6.0
-[E],SetIniSetting[E],-[E],-[E],"SetIniSetting(sec,key,val);",保存されている設定ファイルを更新し、sec セクションの key キーの値を val にします。 この変更は LoadIniSetting() 実行まで反映されません。,1.6.0
-[E],SetFontName[E],-[E],-[E],SetFontName(str);,フォントを str に変更します。,1.6.0
-[E],SetFontSize[E],-[E],-[E],SetFontSize(x);,フォントサイズを x に変更します。,1.6.0
-[E],ShellOpen[E],-[E],-[E],ShellOpen(filename);,指定されたファイルを関連付けられたアプリケーションで開きます。,1.7.0
-[E],ShellOpen[E],-[E],-[E],"ShellOpen(appname, filename);",filename をパラメータとして appname で指定したアプリケーションを実行します。,1.7.0
-[E],Open[E],-[E],-[E],Open(filename);,filename を Cassava で読み込みます。,1.8.1
-[E],SaveAs[E],-[E],-[E],SaveAs(filename);,現在開いているファイルを filename に保存します。,1.8.0
-[E],SaveAs[E],-[E],-[E],"SaveAs(filename, type);",現在開いているファイルを type で指定した形式で filename に保存します。,1.8.0
-[E],Export[E],-[E],-[E],"Export(filename, type);",現在開いているファイルを type で指定した形式で filename にエクスポートします。,1.8.0
-[E],cell[E],-[E],-[E],"[x,y] / cell(x,y)","(x,y) のセルの内容です。読み書きともにできます。",-
